week,sessions,orders,gross_revenue,gross_profit,refund_amount,refunded_items,net_revenue,conversion_rate,aov,refund_pct_revenue
2012-11-11,2096.0,87.0,4349.13,2653.5000000000005,299.94,6.0,4049.19,4.150763358778626,49.99,6.896551724137931
2012-11-18,1998.0,103.0,5148.97,3141.5000000000005,549.89,11.0,4599.08,5.155155155155155,49.99,10.679611650485436
2012-11-25,5096.0,221.0,11047.79,6740.500000000001,299.94,6.0,10747.85,4.336734693877551,49.99,2.7149321266968323
2012-12-02,4224.0,183.0,9148.17,5581.500000000001,699.86,14.0,8448.31,4.332386363636364,49.99,7.650273224043716
2012-12-09,2722.0,144.0,7198.56,4392.000000000001,599.88,12.0,6598.68,5.290227773695812,49.99,8.333333333333332
2012-12-16,2492.0,123.0,6148.77,3751.5000000000005,349.93,7.0,5798.84,4.935794542536116,49.99,5.691056910569105
2012-12-23,2653.0,132.0,6598.68,4026.0000000000005,399.92,8.0,6198.76,4.9754994346023365,49.99,6.0606060606060606
2012-12-30,1646.0,77.0,3849.23,2348.5000000000005,299.94,6.0,3549.29,4.678007290400972,49.99,7.792207792207792
2013-01-06,1377.0,86.0,4299.14,2623.0000000000005,399.92,8.0,3899.2200000000003,6.245461147421931,49.99,9.30232558139535
2013-01-13,1333.0,86.0,4469.14,2742.0000000000005,249.95000000000002,5.0,4219.1900000000005,6.451612903225806,51.96674418604652,5.592798614498539
2013-01-20,1457.0,102.0,5238.9800000000005,3209.0000000000005,249.95000000000002,5.0,4989.030000000001,7.0006863417982155,51.36254901960785,4.770966867596364
2013-01-27,1474.0,83.0,4229.17,2587.5000000000005,149.97,3.0,4079.2000000000003,5.630936227951153,50.95385542168675,3.5460858750062068
2013-02-03,1378.0,74.0,3819.26,2341.0,309.94,6.0,3509.32,5.370101596516691,51.61162162162162,8.115184616915318
2013-02-10,1471.0,95.0,4989.05,3065.5000000000005,209.96,4.0,4779.09,6.458191706322229,52.51631578947369,4.208416431986049
2013-02-17,2945.0,200.0,11098.0,6870.0,249.95000000000002,5.0,10848.05,6.791171477079796,55.49,2.2522076049738695
2013-02-24,1377.0,96.0,4879.04,2984.0000000000005,259.95,5.0,4619.09,6.971677559912854,50.82333333333333,5.327892372269955
2013-03-03,1396.0,100.0,5179.0,3176.0000000000005,349.93,7.0,4829.07,7.163323782234957,51.79,6.75670978953466
2013-03-10,1466.0,83.0,4299.17,2636.5000000000005,499.90000000000003,10.0,3799.27,5.661664392905866,51.79722891566265,11.62782583614977
2013-03-17,1330.0,85.0,4429.150000000001,2718.5000000000005,59.99,1.0,4369.160000000001,6.390977443609022,52.10764705882354,1.3544359527223055
2013-03-24,1404.0,73.0,3759.27,2303.5,309.94,6.0,3449.33,5.1994301994302,51.496849315068495,8.244685803360758
2013-03-31,1631.0,122.0,6288.780000000001,3854.0000000000005,99.98,2.0,6188.800000000001,7.480073574494176,51.547377049180334,1.5898155127067568
2013-04-07,1759.0,139.0,7168.610000000001,4393.5,299.94,6.0,6868.670000000001,7.902217168845935,51.57273381294964,4.1840747369434235
2013-04-14,1855.0,115.0,5998.85,3682.5000000000005,259.95,5.0,5738.900000000001,6.199460916442049,52.16391304347827,4.333330555023045
2013-04-21,1900.0,131.0,6738.6900000000005,4128.5,499.90000000000003,10.0,6238.790000000001,6.894736842105263,51.44038167938932,7.41835579318829
2013-04-28,1795.0,117.0,6028.83,3694.5000000000005,99.98,2.0,5928.85,6.518105849582173,51.528461538461535,1.6583648900367072
2013-05-05,1905.0,149.0,7688.51,4712.5,259.95,5.0,7428.56,7.821522309711286,51.60073825503356,3.381019209183574
2013-05-12,1980.0,111.0,5648.89,3455.5000000000005,249.95000000000002,5.0,5398.9400000000005,5.606060606060606,50.8909009009009,4.424763095050532
2013-05-19,1806.0,118.0,6078.820000000001,3725.0000000000005,449.91,9.0,5628.910000000001,6.533776301218161,51.515423728813566,7.401271957386466
2013-05-26,1855.0,129.0,6658.71,4081.5000000000005,259.95,5.0,6398.76,6.954177897574124,51.61790697674419,3.9039093157683697
2013-06-02,1877.0,134.0,6908.66,4234.0,359.93,7.0,6548.73,7.13905167820991,51.557164179104475,5.20983808727018
2013-06-09,1999.0,155.0,7978.450000000001,4888.500000000001,549.89,11.0,7428.56,7.753876938469234,51.47387096774194,6.892190839072751
2013-06-16,1918.0,122.0,6298.780000000001,3861.0000000000005,199.96,4.0,6098.820000000001,6.360792492179354,51.629344262295085,3.17458301448852
2013-06-23,2086.0,152.0,7848.4800000000005,4811.0,589.89,11.0,7258.59,7.28667305848514,51.63473684210527,7.515977616047947
2013-06-30,2010.0,145.0,7448.55,4562.5,409.92,8.0,7038.63,7.213930348258707,51.36931034482759,5.503353001590914
2013-07-07,1916.0,105.0,5418.95,3321.5000000000005,799.84,16.0,4619.11,5.480167014613778,51.609047619047615,14.760054992203287
2013-07-14,1957.0,131.0,6758.6900000000005,4142.5,549.89,11.0,6208.8,6.6939192641798675,51.593053435114506,8.136044115057798
2013-07-21,2003.0,140.0,7248.6,4445.0,199.96,4.0,7048.64,6.989515726410385,51.77571428571429,2.758601661010402
2013-07-28,2043.0,149.0,7718.51,4733.5,569.89,11.0,7148.62,7.293196279980421,51.802080536912754,7.383419856941301
2013-08-04,1929.0,142.0,7238.58,4429.000000000001,249.95000000000002,5.0,6988.63,7.36132711249352,50.975915492957746,3.453025317120209
2013-08-11,1935.0,120.0,6138.8,3758.0000000000005,659.87,13.0,5478.93,6.2015503875969,51.156666666666666,10.749169218739818
2013-08-18,2041.0,145.0,7458.55,4569.5,359.93,7.0,7098.62,7.1043606075453205,51.43827586206897,4.825736905966978
2013-08-25,2241.0,152.0,7928.4800000000005,4867.0,449.91,9.0,7478.570000000001,6.7826863007585905,52.16105263157895,5.674605977438298
2013-09-01,2200.0,143.0,7368.570000000001,4515.5,249.95000000000002,5.0,7118.620000000001,6.5,51.52846153846154,3.3921100023478097
2013-09-08,2201.0,126.0,6528.740000000001,4004.0000000000005,199.96,4.0,6328.780000000001,5.724670604270786,51.81539682539683,3.0627655566005076
2013-09-15,2136.0,148.0,7598.52,4654.0,299.94,6.0,7298.580000000001,6.928838951310862,51.341351351351356,3.947347641382795
2013-09-22,2363.0,157.0,8038.43,4921.500000000001,449.91,9.0,7588.52,6.64409648751587,51.20019108280255,5.596988466653315
2013-09-29,2318.0,163.0,8758.31,5371.5,149.97,3.0,8608.34,7.031924072476273,53.73196319018405,1.7123166455628998
2013-10-06,2354.0,159.0,8658.33,5310.500000000001,359.93,7.0,8298.4,6.75446049277825,54.45490566037736,4.157037211563893
2013-10-13,2505.0,159.0,8778.32,5390.0,199.96,4.0,8578.36,6.347305389221557,55.20955974842767,2.277884606621768
2013-10-20,2254.0,143.0,7508.54,4600.0,159.97,3.0,7348.57,6.344276841171251,52.50727272727273,2.130507395578901
2013-10-27,2324.0,147.0,7798.490000000001,4780.5,249.95000000000002,5.0,7548.540000000001,6.325301204819277,53.05095238095239,3.2051076554563767
2013-11-03,2514.0,174.0,9438.18,5789.000000000001,259.95,5.0,9178.23,6.921241050119331,54.24241379310345,2.7542386349910677
2013-11-10,2364.0,137.0,7228.610000000001,4435.5,199.96,4.0,7028.650000000001,5.795262267343486,52.76357664233577,2.766230298771133
2013-11-17,2349.0,150.0,8248.42,5064.0,99.98,2.0,8148.4400000000005,6.385696040868455,54.989466666666665,1.2121109254863356
2013-11-24,2488.0,167.0,8928.27,5472.500000000001,149.97,3.0,8778.300000000001,6.712218649517684,53.46269461077845,1.6797207073710807
2013-12-01,6241.0,358.0,19576.23,12009.500000000002,369.93,7.0,19206.3,5.736260214709181,54.682206703910616,1.8896896899964908
2013-12-08,4989.0,290.0,15367.02,9418.0,519.9,10.0,14847.12,5.812788133894569,52.989724137931034,3.3832193880140715
2013-12-15,3270.0,219.0,12195.640000000001,7545.000000000001,619.88,12.0,11575.760000000002,6.697247706422019,55.68785388127854,5.082800082652488
2013-12-22,3586.0,252.0,14131.19,8853.5,401.92,8.0,13729.27,7.027328499721137,56.0761507936508,2.844204911263666
2013-12-29,2834.0,231.0,13497.35,8466.5,487.90000000000003,10.0,13009.45,8.151023288637967,58.43008658008658,3.614783642715052
2014-01-05,2748.0,176.0,9864.050000000001,6165.500000000001,297.94,6.0,9566.11,6.404657933042213,56.045738636363645,3.0204631971654643
2014-01-12,2877.0,192.0,11007.83,6863.500000000001,347.93,7.0,10659.9,6.673618352450469,57.332447916666666,3.160750120595976
2014-01-19,3412.0,212.0,12417.59,7742.500000000001,389.92,8.0,12027.67,6.213364595545135,58.57353773584906,3.1400617994312907
2014-01-26,3393.0,246.0,13985.25,8736.5,491.90000000000003,10.0,13493.35,7.250221043324491,56.85060975609756,3.5172771312632953
2014-02-02,3815.0,242.0,14435.17,9072.5,711.86,14.0,13723.31,6.343381389252949,59.64946280991735,4.9314278945104215
2014-02-09,3821.0,222.0,13825.17,8735.5,591.88,12.0,13233.29,5.809997382884062,62.27554054054054,4.281177012651562
2014-02-16,4724.0,322.0,21429.83,13600.5,635.87,13.0,20793.960000000003,6.816257408975444,66.55226708074535,2.9672190586672875
2014-02-23,3891.0,250.0,16486.52,10422.0,335.93,7.0,16150.59,6.42508352608584,65.94608,2.0376040547065117
2014-03-02,3905.0,229.0,14406.93,9103.5,845.83,17.0,13561.1,5.8642765685019205,62.91235807860262,5.870994028568196
2014-03-09,3838.0,234.0,14788.91,9329.5,391.92,8.0,14396.99,6.096925482021886,63.20047008547009,2.65009388792007
2014-03-16,3925.0,279.0,17688.33,11156.5,405.92,8.0,17282.410000000003,7.10828025477707,63.39903225806452,2.2948463761135165
2014-03-23,3351.0,249.0,16042.630000000001,10143.5,479.90000000000003,10.0,15562.730000000001,7.430617726051924,64.42823293172691,2.991404775900211
2014-03-30,3329.0,229.0,14868.87,9407.5,623.87,13.0,14245.0,6.878942625413037,64.9295633187773,4.195813131730925
2014-04-06,3807.0,261.0,16476.56,10374.0,521.89,11.0,15954.670000000002,6.8557919621749415,63.128582375478935,3.1674694232291203
2014-04-13,4070.0,250.0,15554.720000000001,9835.0,605.88,12.0,14948.840000000002,6.142506142506143,62.218880000000006,3.895152082454714
2014-04-20,4009.0,298.0,19249.940000000002,12177.0,495.90000000000003,10.0,18754.04,7.433275130955351,64.59711409395975,2.576111925543664
2014-04-27,4019.0,307.0,19445.86,12276.0,827.83,17.0,18618.03,7.638716098531974,63.34156351791531,4.257101511581386
2014-05-04,3966.0,300.0,19439.93,12277.5,587.88,12.0,18852.05,7.564296520423601,64.79976666666667,3.0240849632689004
2014-05-11,4193.0,313.0,20355.66,12862.0,597.86,14.0,19757.8,7.464822322919151,65.03405750798721,2.937070082719008
2014-05-18,4223.0,330.0,21367.49,13515.5,525.89,11.0,20841.600000000002,7.8143499881600755,64.7499696969697,2.461168812995817
2014-05-25,4066.0,304.0,19349.96,12220.0,601.88,12.0,18748.079999999998,7.476635514018691,63.65118421052631,3.1104973860411085
2014-06-01,3979.0,309.0,20505.73,12911.5,453.91,9.0,20051.82,7.76577029404373,66.3615857605178,2.213576400352487
2014-06-08,4008.0,281.0,18304.15,11580.5,741.85,15.0,17562.300000000003,7.010978043912177,65.13932384341638,4.052906034970212
2014-06-15,4158.0,300.0,19022.0,12017.0,801.84,16.0,18220.16,7.215007215007215,63.406666666666666,4.215329618336662
2014-06-22,4161.0,280.0,17908.29,11316.5,957.7900000000001,21.0,16950.5,6.7291516462388845,63.958178571428576,5.348305170398737
2014-06-29,4321.0,299.0,19881.84,12578.0,659.87,13.0,19221.97,6.919694515158528,66.49444816053511,3.318958406264209
2014-07-06,4283.0,297.0,18782.11,11816.5,1123.77,23.0,17658.34,6.934391781461592,63.23942760942761,5.983193581551806
2014-07-13,4227.0,264.0,17090.41,10797.5,887.82,18.0,16202.59,6.245564229950319,64.73640151515151,5.194843189835704
2014-07-20,4161.0,271.0,17418.33,11022.5,695.86,14.0,16722.47,6.512857486181206,64.27428044280444,3.994986890247228
2014-07-27,4212.0,298.0,19645.9,12371.0,847.83,17.0,18798.07,7.0750237416904085,65.9258389261745,4.315556935543803
2014-08-03,4198.0,314.0,20157.74,12740.0,767.85,15.0,19389.890000000003,7.479752262982372,64.19662420382166,3.809206786078201
2014-08-10,4168.0,301.0,18894.010000000002,11951.5,467.90000000000003,10.0,18426.11,7.22168905950096,62.7707973421927,2.4764462387814974
2014-08-17,4239.0,315.0,19949.75,12625.5,889.82,18.0,19059.93,7.43099787685775,63.33253968253968,4.460306520131831
2014-08-24,4436.0,307.0,19679.86,12450.0,1089.78,22.0,18590.08,6.920649233543733,64.10377850162867,5.537539393064788
2014-08-31,4451.0,297.0,19581.850000000002,12384.5,1781.64,36.0,17800.210000000003,6.672657829701191,65.93215488215489,9.098425327535447
2014-09-07,4437.0,325.0,21129.5,13366.0,3053.38,62.0,18076.12,7.324768988054991,65.01384615384616,14.450791547362693
2014-09-14,4577.0,340.0,22191.38,14030.0,3555.29,71.0,18636.09,7.428446580729736,65.26876470588236,16.021040602251865
2014-09-21,4473.0,331.0,21069.54,13311.0,2789.44,56.0,18280.100000000002,7.399955287279231,63.6541993957704,13.239206930953404
2014-09-28,4563.0,326.0,21303.46,13466.0,2079.58,42.0,19223.879999999997,7.1444225290379135,65.34803680981595,9.761700681485543
2014-10-05,4512.0,334.0,21633.43,13683.5,693.85,15.0,20939.58,7.402482269503547,64.77074850299401,3.2073046206727276
2014-10-12,4714.0,360.0,23053.13,14588.5,925.8100000000001,19.0,22127.32,7.6368264743317775,64.03647222222223,4.0159839466484595
2014-10-19,4890.0,361.0,23207.16,14684.0,755.84,16.0,22451.32,7.38241308793456,64.28576177285319,3.2569258797715874
2014-10-26,4857.0,354.0,22967.08,14539.0,453.90000000000003,10.0,22513.18,7.288449660284126,64.8787570621469,1.9763069576106322
2014-11-02,4763.0,351.0,22597.170000000002,14285.5,375.92,8.0,22221.250000000004,7.369305059836238,64.37940170940172,1.6635711462984082
2014-11-09,4870.0,359.0,22817.16,14457.0,581.88,12.0,22235.28,7.371663244353183,63.55754874651811,2.550185912707804
2014-11-16,5563.0,457.0,29535.75,18636.5,671.85,15.0,28863.9,8.214991910839476,64.62964989059081,2.274700997943171
2014-11-23,5363.0,420.0,26750.34,16923.0,1039.79,21.0,25710.55,7.831437628193176,63.69128571428571,3.8870160154973727
2014-11-30,8582.0,700.0,46046.35,29071.5,729.85,15.0,45316.5,8.156606851549755,65.7805,1.5850333414049105
2014-12-07,7829.0,598.0,38923.770000000004,24639.5,1737.65,35.0,37186.12,7.6382679780304,65.08991638795987,4.464238690137157
2014-12-14,6501.0,489.0,29471.7,18700.0,1501.68,32.0,27970.02,7.521919704660822,60.26932515337423,5.095328739095471
2014-12-21,6440.0,512.0,32021.06,20350.0,709.85,15.0,31311.210000000003,7.950310559006211,62.5411328125,2.2168223038212975
2014-12-28,6267.0,482.0,29595.690000000002,18772.5,1521.69,31.0,28074.000000000004,7.691080261688208,61.40184647302905,5.1415932522607175
2015-01-04,5463.0,453.0,28165.9,17861.0,983.8000000000001,20.0,27182.100000000002,8.292147171883581,62.17637969094923,3.492876137456996
2015-01-11,5852.0,466.0,29041.74,18423.0,987.7900000000001,21.0,28053.95,7.9630895420369106,62.32133047210301,3.401276920735466
2015-01-18,5649.0,479.0,30021.54,19059.0,1153.76,24.0,28867.780000000002,8.479376880863871,62.67544885177453,3.8431073156140556
2015-01-25,5716.0,476.0,30179.52,19179.0,1185.76,24.0,28993.760000000002,8.327501749475157,63.402352941176474,3.92902206529461
2015-02-01,5770.0,504.0,32624.99,20697.5,1137.77,23.0,31487.22,8.734835355285963,64.73212301587301,3.4874186934616684
2015-02-08,5783.0,504.0,31589.350000000002,20031.5,1065.77,23.0,30523.58,8.715199723326993,62.67728174603175,3.373826938509339
2015-02-15,6650.0,619.0,39092.21,24871.5,815.83,17.0,38276.38,9.308270676691729,63.1538126009693,2.086937525404678
2015-02-22,5693.0,462.0,28789.760000000002,18246.0,1197.77,23.0,27591.99,8.115229228877569,62.31549783549784,4.160402865463276
2015-03-01,5722.0,471.0,28825.83,18263.5,747.85,15.0,28077.980000000003,8.231387626703949,61.201337579617835,2.5943745592061007
2015-03-08,5857.0,457.0,28731.86,18180.0,1055.77,23.0,27676.09,7.802629332422742,62.87059080962801,3.674561967098545
2015-03-15,5701.0,512.0,32686.960000000003,20739.0,1013.78,22.0,31673.180000000004,8.98088054727241,63.841718750000005,3.1014814470357597
