StockCode,Description,Month,Quantity,Revenue,Transactions,Customers,Avg_Price,Min_Price,Max_Price,Revenue_Per_Unit
10123C,HEARTS WRAPPING TAPE ,2010-09,180,32.040000000000006,4,4,0.5025000000000001,0.06,0.65,0.17800000000000005
10123C,HEARTS WRAPPING TAPE ,2010-10,5,3.25,5,4,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-11,22,14.3,6,6,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-12,2,1.3,2,1,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2011-03,4,2.6,2,2,0.65,0.65,0.65,0.65
10123G,ARMY CAMO WRAPPING TAPE,2010-07,18,11.700000000000001,4,3,0.65,0.65,0.65,0.65
10123G,ARMY CAMO WRAPPING TAPE,2010-08,1104,66.24,1,1,0.06,0.06,0.06,0.06
10123G,ARMY CAMO WRAPPING TAPE,2010-09,1104,66.24,1,1,0.06,0.06,0.06,0.06
10123G,ARMY CAMO WRAPPING TAPE,2010-10,2,1.3,2,2,0.65,0.65,0.65,0.65
10123G,ARMY CAMO WRAPPING TAPE,2010-11,18,11.7,5,5,0.65,0.65,0.65,0.6499999999999999
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-03,3,1.26,1,1,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-04,1,0.42,1,1,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-06,3,1.26,1,1,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-07,2,0.84,1,1,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-08,5,2.1,1,1,0.42,0.42,0.42,0.42000000000000004
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-09,21,8.82,4,4,0.42,0.42,0.42,0.42000000000000004
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-10,4,1.68,2,2,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-11,3,1.26,2,2,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-12,8,3.36,2,1,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-02,3,1.26,1,1,0.42,0.42,0.42,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-03,5,2.1,2,2,0.42,0.42,0.42,0.42000000000000004
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,4,1.68,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2010-05,1,0.42,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2010-06,3,1.26,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2010-08,5,2.1,1,1,0.42,0.42,0.42,0.42000000000000004
10124G,ARMY CAMO BOOKCOVER TAPE,2010-09,4,1.68,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2010-10,2,0.84,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2010-12,10,4.2,2,1,0.42,0.42,0.42,0.42000000000000004
10124G,ARMY CAMO BOOKCOVER TAPE,2011-03,4,1.68,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2011-09,4,1.68,1,1,0.42,0.42,0.42,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,4,1.68,1,1,0.42,0.42,0.42,0.42
10125,MINI FUNKY DESIGN TAPES,2009-12,124,105.4,15,13,0.85,0.85,0.85,0.8500000000000001
10125,MINI FUNKY DESIGN TAPES,2010-02,42,35.7,3,3,0.85,0.85,0.85,0.8500000000000001
10125,MINI FUNKY DESIGN TAPES,2010-03,86,73.1,5,5,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2010-04,20,17.0,1,1,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2010-05,20,17.0,1,1,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2010-06,63,53.55,6,6,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2010-07,105,89.25,7,6,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2010-09,65,55.25,5,5,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2010-10,99,84.15,14,11,0.85,0.85,0.85,0.8500000000000001
10125,MINI FUNKY DESIGN TAPES,2010-11,123,104.55000000000001,8,8,0.85,0.85,0.85,0.8500000000000001
10125,MINI FUNKY DESIGN TAPES,2010-12,186,115.1,11,7,0.7327272727272728,0.42,0.85,0.6188172043010752
10125,MINI FUNKY DESIGN TAPES,2011-01,160,67.2,7,7,0.42,0.42,0.42,0.42000000000000004
10125,MINI FUNKY DESIGN TAPES,2011-03,112,95.19999999999999,10,9,0.85,0.85,0.85,0.8499999999999999
10125,MINI FUNKY DESIGN TAPES,2011-04,82,69.7,6,6,0.85,0.85,0.85,0.8500000000000001
10125,MINI FUNKY DESIGN TAPES,2011-05,107,90.95,6,6,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2011-06,13,11.049999999999999,2,2,0.85,0.85,0.85,0.8499999999999999
10125,MINI FUNKY DESIGN TAPES,2011-07,176,149.6,10,8,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2011-08,85,72.25,4,4,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2011-09,210,178.5,4,4,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2011-10,50,42.5,4,4,0.85,0.85,0.85,0.85
10125,MINI FUNKY DESIGN TAPES,2011-11,62,52.7,2,2,0.85,0.85,0.85,0.8500000000000001
10125,MINI FUNKY DESIGN TAPES,2011-12,26,22.1,2,2,0.85,0.85,0.85,0.8500000000000001
10133,COLOURING PENCILS BROWN TUBE,2009-12,153,130.05,15,13,0.85,0.85,0.85,0.8500000000000001
10133,COLOURING PENCILS BROWN TUBE,2010-01,161,117.35,3,3,0.8066666666666666,0.72,0.85,0.7288819875776397
10133,COLOURING PENCILS BROWN TUBE,2010-02,96,81.6,6,6,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-03,35,29.75,7,7,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-04,45,36.949999999999996,6,6,0.8283333333333333,0.72,0.85,0.821111111111111
10133,COLOURING PENCILS BROWN TUBE,2010-05,80,66.7,6,6,0.8283333333333333,0.72,0.85,0.83375
10133,COLOURING PENCILS BROWN TUBE,2010-06,30,25.5,2,2,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-07,52,44.2,5,5,0.85,0.85,0.85,0.8500000000000001
10133,COLOURING PENCILS BROWN TUBE,2010-08,65,55.25,7,7,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-09,43,36.55,4,4,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-10,104,88.4,11,11,0.85,0.85,0.85,0.8500000000000001
10133,COLOURING PENCILS BROWN TUBE,2010-11,70,59.5,9,9,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-12,156,106.8,20,12,0.7855,0.42,0.85,0.6846153846153846
10133,COLOURING PENCILS BROWN TUBE,2011-01,90,42.1,4,4,0.5275,0.42,0.85,0.4677777777777778
10133,COLOURING PENCILS BROWN TUBE,2011-02,37,31.45,5,5,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2011-03,83,70.55,7,7,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2011-04,75,63.75,2,2,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2011-05,33,28.05,4,4,0.85,0.85,0.85,0.85
10133,COLOURING PENCILS BROWN TUBE,2011-06,448,201.06,31,30,0.4477419354838709,0.42,0.85,0.4487946428571429
10133,COLOURING PENCILS BROWN TUBE,2011-07,662,278.04,31,31,0.42,0.42,0.42,0.42000000000000004
10133,COLOURING PENCILS BROWN TUBE,2011-08,640,268.8,22,21,0.42,0.42,0.42,0.42000000000000004
10133,COLOURING PENCILS BROWN TUBE,2011-09,193,81.06,5,5,0.42000000000000004,0.42,0.42,0.42
10134,COLOURING PENCILS BROWN TUBE,2009-12,42,52.5,7,7,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-01,214,229.5,4,3,1.2025000000000001,1.06,1.25,1.0724299065420562
10134,COLOURING PENCILS BROWN TUBE,2010-02,34,42.5,6,5,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-03,64,80.0,8,8,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-04,20,25.0,7,5,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-05,10,12.5,1,1,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-06,17,21.25,3,3,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-07,13,16.25,3,3,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-08,142,152.8,3,3,1.1866666666666668,1.06,1.25,1.0760563380281691
10134,COLOURING PENCILS BROWN TUBE,2010-09,2,2.5,1,1,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-10,28,35.0,5,5,1.25,1.25,1.25,1.25
10134,COLOURING PENCILS BROWN TUBE,2010-11,28,35.0,4,4,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2009-12,107,133.75,16,15,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-01,48,60.0,8,8,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-02,867,946.95,16,15,1.22625,1.06,1.25,1.0922145328719723
10135,COLOURING PENCILS BROWN TUBE,2010-03,100,125.0,11,11,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-04,53,66.25,8,7,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-05,133,147.25,4,4,1.2025000000000001,1.06,1.25,1.1071428571428572
10135,COLOURING PENCILS BROWN TUBE,2010-06,73,91.25,7,7,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-07,53,66.25,5,5,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-08,74,92.5,8,8,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-09,43,53.75,7,6,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-10,83,103.75,16,13,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2010-11,317,377.25,27,26,1.242962962962963,1.06,1.25,1.1900630914826498
10135,COLOURING PENCILS BROWN TUBE,2010-12,397,230.65,21,17,0.8547619047619047,0.42,1.25,0.5809823677581865
10135,COLOURING PENCILS BROWN TUBE,2011-01,400,217.8,15,15,0.6966666666666667,0.42,1.25,0.5445
10135,COLOURING PENCILS BROWN TUBE,2011-02,263,274.15,7,7,1.1042857142857143,0.42,1.25,1.0423954372623574
10135,COLOURING PENCILS BROWN TUBE,2011-03,117,96.45,9,8,1.1577777777777778,0.42,1.25,0.8243589743589744
10135,COLOURING PENCILS BROWN TUBE,2011-04,30,37.5,5,5,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-05,8,10.0,2,2,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-06,55,68.75,8,8,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-07,177,221.25,10,9,1.25,1.25,1.25,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-08,152,171.0,5,4,1.2120000000000002,1.06,1.25,1.125
10135,COLOURING PENCILS BROWN TUBE,2011-09,68,94.68,9,8,1.518888888888889,1.25,2.46,1.3923529411764708
10135,COLOURING PENCILS BROWN TUBE,2011-10,69,100.77,13,9,1.6223076923076922,1.25,2.46,1.4604347826086956
10135,COLOURING PENCILS BROWN TUBE,2011-11,165,207.76,16,13,1.49,0.25,2.46,1.2591515151515151
10135,COLOURING PENCILS BROWN TUBE,2011-12,68,94.68,5,5,1.492,1.25,2.46,1.3923529411764708
10138,ASSORTED COLOUR JUMBO PEN,2009-12,167,70.14,7,7,0.42,0.42,0.42,0.42
10138,ASSORTED COLOUR JUMBO PEN,2010-01,13,5.46,2,2,0.42,0.42,0.42,0.42
10138,ASSORTED COLOUR JUMBO PEN,2010-02,36,15.120000000000001,3,3,0.42,0.42,0.42,0.42000000000000004
10138,ASSORTED COLOUR JUMBO PEN,2010-03,13,5.46,2,2,0.42,0.42,0.42,0.42
10138,ASSORTED COLOUR JUMBO PEN,2010-04,18,7.5600000000000005,2,2,0.42,0.42,0.42,0.42000000000000004
11001,ASSTD DESIGN RACING CAR PEN,2009-12,195,329.54999999999995,16,13,1.69,1.69,1.69,1.6899999999999997
11001,ASSTD DESIGN RACING CAR PEN,2010-01,83,140.27,4,4,1.69,1.69,1.69,1.6900000000000002
11001,ASSTD DESIGN RACING CAR PEN,2010-02,17,28.73,2,2,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2010-03,51,86.19,6,5,1.6900000000000002,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2010-04,48,81.12,3,3,1.6900000000000002,1.69,1.69,1.6900000000000002
11001,ASSTD DESIGN RACING CAR PEN,2010-05,713,1003.37,10,8,1.6059999999999999,1.27,1.69,1.407251051893408
11001,ASSTD DESIGN RACING CAR PEN,2010-06,203,334.67,13,13,1.6576923076923078,1.27,1.69,1.6486206896551725
11001,ASSTD DESIGN RACING CAR PEN,2010-07,48,81.12,3,3,1.6900000000000002,1.69,1.69,1.6900000000000002
11001,ASSTD DESIGN RACING CAR PEN,2010-08,214,361.65999999999997,7,7,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2010-09,158,267.02,17,15,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2010-10,964,1427.56,23,19,1.6534782608695653,1.27,1.69,1.4808713692946058
11001,ASSTD DESIGN RACING CAR PEN,2010-11,330,519.62,18,17,1.623888888888889,0.5,1.69,1.5746060606060606
11001,ASSTD DESIGN RACING CAR PEN,2010-12,114,192.66,9,5,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-01,32,54.08,2,2,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-02,16,27.04,1,1,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-03,49,82.81,3,3,1.6900000000000002,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-04,35,59.15,3,3,1.6900000000000002,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-05,96,162.24,5,5,1.69,1.69,1.69,1.6900000000000002
11001,ASSTD DESIGN RACING CAR PEN,2011-06,96,162.24,5,5,1.69,1.69,1.69,1.6900000000000002
11001,ASSTD DESIGN RACING CAR PEN,2011-07,53,89.57,5,4,1.69,1.69,1.69,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-08,498,646.74,5,4,1.5219999999999998,1.27,1.69,1.2986746987951807
11001,ASSTD DESIGN RACING CAR PEN,2011-09,79,136.70999999999998,8,6,1.89,1.69,3.29,1.7305063291139238
11001,ASSTD DESIGN RACING CAR PEN,2011-10,112,208.48,12,8,2.223333333333333,1.69,3.29,1.8614285714285714
11001,ASSTD DESIGN RACING CAR PEN,2011-11,101,175.48999999999998,7,7,1.9185714285714286,1.69,3.29,1.7375247524752473
11001,ASSTD DESIGN RACING CAR PEN,2011-12,20,38.6,3,3,2.223333333333333,1.69,3.29,1.9300000000000002
15030,FAN BLACK FRAME ,2009-12,10,2.9,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-01,15,4.35,2,2,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-03,10,2.9,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-04,10,2.9,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-06,10,2.8999999999999995,2,2,0.29,0.29,0.29,0.2899999999999999
15030,FAN BLACK FRAME ,2010-07,23,6.67,3,3,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-08,5,1.45,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-09,25,7.25,2,2,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2010-10,3,0.8699999999999999,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-03,5,1.45,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-06,10,2.9,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-07,89,25.81,5,4,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-08,2,0.58,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-09,3,0.8699999999999999,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-10,10,2.9,1,1,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-11,22,6.379999999999999,2,2,0.29,0.29,0.29,0.29
15030,FAN BLACK FRAME ,2011-12,2,0.58,1,1,0.29,0.29,0.29,0.29
15034,PAPER POCKET TRAVELING FAN ,2009-12,74,10.360000000000001,4,4,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-01,314,43.96000000000001,3,3,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-02,72,10.080000000000002,3,3,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-03,180,25.2,4,4,0.14,0.14,0.14,0.13999999999999999
15034,PAPER POCKET TRAVELING FAN ,2010-04,60,8.400000000000002,2,2,0.14,0.14,0.14,0.14000000000000004
15034,PAPER POCKET TRAVELING FAN ,2010-05,410,57.400000000000006,11,9,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-06,844,101.36,19,19,0.13631578947368422,0.07,0.14,0.12009478672985782
15034,PAPER POCKET TRAVELING FAN ,2010-07,577,80.78000000000002,13,12,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-08,193,27.020000000000003,9,9,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-09,231,32.34,6,6,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-10,84,11.760000000000002,2,2,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-11,444,62.160000000000004,8,8,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2010-12,64,8.96,7,4,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-01,168,23.520000000000003,1,1,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-02,72,10.080000000000002,2,2,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-03,120,16.8,5,5,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-04,540,58.800000000000004,10,9,0.133,0.07,0.14,0.1088888888888889
15034,PAPER POCKET TRAVELING FAN ,2011-05,816,114.24000000000001,14,14,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-06,1620,126.00000000000001,10,10,0.12600000000000003,0.07,0.14,0.07777777777777779
15034,PAPER POCKET TRAVELING FAN ,2011-07,205,28.7,6,6,0.14,0.14,0.14,0.13999999999999999
15034,PAPER POCKET TRAVELING FAN ,2011-08,108,15.120000000000001,5,5,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-09,387,54.18000000000001,13,12,0.14,0.14,0.14,0.14
15034,PAPER POCKET TRAVELING FAN ,2011-10,1788,166.32000000000002,7,7,0.13000000000000003,0.07,0.14,0.09302013422818793
15034,PAPER POCKET TRAVELING FAN ,2011-11,557,77.98000000000002,14,14,0.14,0.14,0.14,0.14000000000000004
15036,ASSORTED COLOURS SILK FAN,2009-12,535,306.95000000000005,11,11,0.6345454545454546,0.48,0.65,0.5737383177570095
15036,ASSORTED COLOURS SILK FAN,2010-01,360,234.0,14,14,0.65,0.65,0.65,0.65
15036,ASSORTED COLOURS SILK FAN,2010-02,433,275.31,14,13,0.6542857142857142,0.53,0.75,0.6358198614318706
15036,ASSORTED COLOURS SILK FAN,2010-03,1231,762.93,24,24,0.7108333333333333,0.53,0.75,0.6197644191714053
15036,ASSORTED COLOURS SILK FAN,2010-04,1872,1269.6,31,31,0.7338709677419355,0.65,0.75,0.6782051282051281
15036,ASSORTED COLOURS SILK FAN,2010-05,2628,1736.04,37,37,0.7324324324324325,0.52,0.75,0.6605936073059361
